,Model name,Method,N,Test,Train,Train-Test
135,Stack1,best145_mutual_info_regression,145,0.07920574613525819,0.041673891454479,-0.037531854680779186
104,XGB,all,190,0.0794972646565689,0.04171358282541703,-0.03778368183115186
145,Stack1,rfe,134,0.07956943610103544,0.041953921027968175,-0.03761551507306726
93,XGB,best145_mutual_info_regression,145,0.07989265545598498,0.04144527440848976,-0.03844738104749522
156,Stack2,best145_mutual_info_regression,145,0.08035312604314909,0.0420658944959818,-0.038287231547167296
130,Stack1,#best145_f_regression,145,0.08037532602876155,0.04230014224384788,-0.03807518378491367
109,LightGBM,#best145_f_regression,145,0.0804762213408454,0.05953941064908217,-0.020936810691763223
114,LightGBM,best145_mutual_info_regression,145,0.08050319839480725,0.05932114207522919,-0.021182056319578063
166,Stack2,rfe,134,0.08057202113289264,0.04206029481326341,-0.03851172631962922
151,Stack2,#best145_f_regression,145,0.0806158758950616,0.04241208262200422,-0.038203793273057375
103,XGB,rfe,134,0.08065160534785162,0.042160255393618215,-0.03849134995423341
88,XGB,#best145_f_regression,145,0.08067808473621273,0.04243199765826258,-0.038246087077950144
124,LightGBM,rfe,134,0.08079057228670967,0.05954873619443648,-0.021241836092273196
146,Stack1,all,190,0.08090426473004245,0.04163229253326225,-0.0392719721967802
91,XGB,best80_mutual_info_regression,80,0.08094605366629119,0.04296752760852144,-0.03797852605776975
92,XGB,best120_mutual_info_regression,120,0.08103235593964514,0.042200270531966455,-0.038832085407678685
113,LightGBM,best120_mutual_info_regression,120,0.08113565566652216,0.05987246324412211,-0.021263192422400046
155,Stack2,best120_mutual_info_regression,120,0.0812312131019797,0.041653911769777965,-0.039577301332201734
125,LightGBM,all,190,0.0813006455214215,0.05948443423495355,-0.02181621128646794
134,Stack1,best120_mutual_info_regression,120,0.08134618986740026,0.042524262053259376,-0.038821927814140886
133,Stack1,best80_mutual_info_regression,80,0.08147395630307952,0.04341131619804621,-0.03806264010503331
154,Stack2,best80_mutual_info_regression,80,0.08158684863023846,0.04302299899953551,-0.03856384963070295
167,Stack2,all,190,0.08167951129022506,0.04128575840258446,-0.040393752887640605
112,LightGBM,best80_mutual_info_regression,80,0.08222659689226793,0.06098131839964656,-0.021245278492621367
19,Ridge,rfe,134,0.08245823747357882,0.07573647058176092,-0.006721766891817901
4,Ridge,#best145_f_regression,145,0.08269490625511122,0.07622563025113056,-0.006469276003980659
25,Lasso,#best145_f_regression,145,0.082743389223191,0.0760230852984822,-0.0067203039247087926
67,Elastic Net,#best145_f_regression,145,0.08280483199429632,0.07592288433449071,-0.006881947659805612
40,Lasso,rfe,134,0.0828115479439495,0.07451621568465817,-0.008295332259291327
82,Elastic Net,rfe,134,0.08281223781005058,0.07442134518361256,-0.008390892626438023
